Ticker;TotalOrders;Profit;Dividents;Commission;Total;Currency
TSLA;180;198.27;0;-70.45;127.82;USD
VIPS;51;52.13;0;-3.22;48.91;USD
CNK;68;47.76;0;-4.83;42.93;USD
ZYXI;38;39.91;0;-0.97;38.94;USD
FSLR;24;38.33;0;-1.54;36.79;USD
SRPT;9;37.81;0;-0.69;37.12;USD
BKNG;2;27.44;0;-1.05;26.39;USD
ZM;12;26.63;0;-2.51;24.12;USD
PLTR;36;25.43;0;-1.50;23.93;USD
ABT;25;23.64;0;-2.07;21.57;USD
FB;11;22.00;0;-2.66;19.34;USD
TWTR;25;19.10;0;-1.25;17.85;USD
M;42;17.62;0;-3.39;14.23;USD
INTC;19;16.54;0.63;-1.02;16.15;USD
SWI;14;12.12;0;-0.40;11.72;USD
GSKY;15;10.65;0;-0.57;10.08;USD
BLUE;11;10.30;0;-0.54;9.76;USD
LRN;15;10.08;0;-0.53;9.55;USD
MFGP;22;10.07;0;-0.78;9.29;USD
CSCO;7;9.57;0;-0.27;9.30;USD
QCOM;9;8.69;0;-0.73;7.96;USD
CVS;4;7.7;0;-0.82;6.88;USD
V;4;7.63;0.29;-0.4;7.52;USD
AMZN;6;7.43;0;-4.96;2.47;USD
MAC;20;6.96;0;-3.86;3.10;USD
TSN;12;6.50;0;-0.61;5.89;USD
AAL;4;5.70;0;-0.20;5.50;USD
BIDU;10;5.68;0;-1.16;4.52;USD
MRNA;9;5.58;0;-0.64;4.94;USD
LITE;4;5.55;0;-0.17;5.38;USD
IAC;2;5.22;0;-0.14;5.08;USD
F;2;5.0;0;-0.11;4.89;USD
BABA;10;4.52;0;-2.02;2.50;USD
CCL;7;4.46;0;-0.57;3.89;USD
GILD;2;4.32;0;-0.14;4.18;USD
VEON;10;4.18;0;-0.80;3.38;USD
MDT;2;4.17;0;-0.12;4.05;USD
MSFT;4;3.83;0;-0.54;3.29;USD
SNAP;2;3.8;0;-0.06;3.74;USD
COTY;14;3.51;0;-1.23;2.28;USD
PBF;2;3.2;0;-0.07;3.13;USD
PFE;17;3.17;0;-0.47;2.70;USD
TCS;6;2.96;0;-0.18;2.78;USD
VIR;4;2.92;0;-0.10;2.82;USD
KMI;8;2.87;0;-0.62;2.25;USD
MRK;7;2.79;0;-0.26;2.53;USD
IBM;6;2.56;0;-0.60;1.96;USD
FSLY;2;2.48;0;-0.12;2.36;USD
QRTEA;3;2.3;0;-0.18;2.12;USD
ZYNE;15;1.90;0;-0.31;1.59;USD
TWOU;2;1.59;0;-0.04;1.55;USD
ABNB;4;1.40;0;-0.36;1.04;USD
FRHC;4;1.32;0;-0.08;1.24;USD
KO;2;1.14;0;-0.10;1.04;USD
BA;2;1.07;0;-0.2;0.87;USD
ENDP;6;1.07;0;-0.12;0.95;USD
GM;4;1.07;0;-0.12;0.95;USD
BBBY;2;1.02;0;-0.04;0.98;USD
NMIH;2;1.0;0;-0.08;0.92;USD
DAL;2;0.75;0;-0.22;0.53;USD
EA;4;0.66;0;-0.22;0.44;USD
ARCT;2;0.6;0;-0.16;0.44;USD
FLWS;2;0.57;0;-0.04;0.53;USD
ACH;2;0.5;0;-0.03;0.47;USD
NFLX;10;0.46;0;-5.73;-5.27;USD
QDEL;2;0.46;0;-0.2;0.26;USD
GOSS;2;0.36;0;-0.04;0.32;USD
NOK;2;0.35;0;-0.08;0.27;USD
FDX;2;0.33;0;-0.26;0.07;USD
ET;2;0.3;0;-0.06;0.24;USD
MUR;2;0.3;0;-0.08;0.22;USD
SAVE;11;0.29;0;-0.73;-0.44;USD
NTLA;4;0.28;0;-0.14;0.14;USD
