OKE;2;-3.22;-0.08;Usd
CVS;4;7.7;-0.82;Usd
JD;2;-1.33;-0.08;Usd
QDEL;2;0.46;-0.2;Usd
MOEX;2;75;-5.20;Rub
PFE;17;3.17;-0.47;Usd
FDX;2;0.33;-0.26;Usd
SIG;2;0.05;-0.02;Usd
BLUE;7;5.79;-0.22;Usd
MRK;7;2.79;-0.26;Usd
SEDG;33;-85.90;-4.92;Usd
IBM;6;2.56;-0.60;Usd
SWBI;2;0.17;-0.02;Usd
CRTX;2;0.26;-0.06;Usd
QIWI;5;-593.5;-4.89;Rub
IRKT;8;722;-41.97;Rub
SPCE;22;41.23;-0.93;Usd
TSLA;149;244.97;-60.34;Usd
MFGP;14;11.60;-0.49;Usd
SLB;2;-0.9;-0.15;Usd
RIG;2;0.05;-0.04;Usd
EW;2;0.04;-0.04;Usd
CVET;2;-2.58;-0.06;Usd
YNDX;8;772.4;-124.04;Rub
MSFT;4;3.83;-0.54;Usd
VTBR;2;2.7;-2.30;Rub
ZM;2;0.92;-0.36;Usd
ET;2;0.3;-0.06;Usd
BABA;2;1.73;-0.28;Usd
VEON;10;4.18;-0.80;Usd
ESPR;2;-0.12;-0.02;Usd
GAZP;4;-2162.4;-45.10;Rub
EHTH;8;-38.11;-0.27;Usd
AAPL;22;19.22;-2.89;Usd
BSX;5;-0.74;-0.09;Usd
BKNG;2;27.44;-1.05;Usd
ETLN;8;1073.36;-14.40;Rub
TAL;2;-0.66;-0.05;Usd
MDT;2;4.17;-0.12;Usd
NFLX;3;-30.42;-0.97;Usd
INTC;19;16.54;-1.02;Usd
ZGNX;3;2.29;-0.04;Usd
BYND;22;-17.37;-1.60;Usd
SRPT;9;37.81;-0.69;Usd
MAC;9;0.88;-0.13;Usd
AMD;2;-1.60;-0.17;Usd
ALRS;3;942.8;-1.75;Rub
IAC;2;5.22;-0.14;Usd
FB;9;22.57;-2.28;Usd
PSTG;2;0.27;-0.02;Usd
KR;3;-0.67;-0.08;Usd
GPS;2;0.21;-0.02;Usd
CCL;7;4.46;-0.57;Usd
UPWK;2;-2.87;-0.06;Usd
GILD;2;4.32;-0.14;Usd
GSKY;9;11.59;-0.47;Usd
IIVI;2;0.01;-0.06;Usd
MAIL;12;551.4;-75.83;Rub
ZYXI;16;-0.52;-0.41;Usd
ABNB;4;1.40;-0.36;Usd
LRN;15;10.08;-0.53;Usd
M;27;3.30;-2.04;Usd
BIDU;2;-4.01;-0.26;Usd
GTHX;18;-254.52;-0.95;Usd
BA;2;1.07;-0.2;Usd
QRTEA;3;2.3;-0.18;Usd
F;2;5.0;-0.11;Usd
LKOH;2;160;-5.72;Rub
AYX;22;-264.26;-2.81;Usd
V;4;7.63;-0.4;Usd
NVDA;19;-3.48;-4.74;Usd
TATN;2;-14.6;-0.51;Rub
FSLY;2;2.48;-0.12;Usd
ZYNE;14;-26.30;-0.30;Usd
HRTX;2;0.22;-0.02;Usd
EA;2;-0.11;-0.12;Usd
MUR;2;0.3;-0.08;Usd
YY;4;-1.14;-0.12;Usd
SBER;13;-1286.5;-141.69;Rub
OSUR;4;0.81;-0.04;Usd
VIPS;34;41.59;-1.64;Usd
AMZN;6;7.43;-4.96;Usd
TWTR;21;16.66;-0.89;Usd
ANGI;2;0.15;-0.02;Usd
NMIH;2;1.0;-0.08;Usd
JPM;2;-4.25;-0.12;Usd
PBI;10;-0.51;-0.13;Usd
MTSS;4;137;-38.26;Rub
LSRG;2;49.6;-1.40;Rub
NET;2;-0.37;-0.06;Usd
SWN;2;-0.90;-0.04;Usd
CNK;54;43.86;-4.09;Usd
FRHC;2;1.23;-0.04;Usd
LITE;4;5.55;-0.17;Usd
SNAP;2;3.8;-0.06;Usd
MRNA;9;5.58;-0.64;Usd
PBF;2;3.2;-0.07;Usd
TSN;12;6.50;-0.61;Usd
NTLA;4;0.28;-0.14;Usd
GE;2;0.02;-0.03;Usd
NSVZ;2;15;-2.13;Rub
FLWS;2;0.57;-0.04;Usd
COTY;12;-0.49;-0.42;Usd
GCO;2;-0.46;-0.04;Usd
BBBY;2;1.02;-0.04;Usd
GM;4;1.07;-0.12;Usd
KO;2;1.14;-0.10;Usd
AAL;4;5.70;-0.20;Usd
DSKY;2;-50.8;-1.34;Rub
UBER;2;0.16;-0.12;Usd
TWOU;2;1.59;-0.04;Usd
FSLR;15;17.58;-1.08;Usd
C;20;22.02;-1.32;Usd
QCOM;9;8.69;-0.73;Usd
SAVE;11;0.29;-0.73;Usd
ABT;25;23.64;-2.07;Usd
MOMO;28;21.83;-0.94;Usd
SWI;14;12.12;-0.40;Usd
WBA;2;-0.19;-0.04;Usd
POLY;20;1380.7;-122.98;Rub
RDFN;2;0.25;-0.04;Usd
MNK;4;0.13;-0.10;Usd
EDIT;4;-4.08;-0.22;Usd
LLY;2;0.14;-0.14;Usd
PLTR;9;1.87;-0.20;Usd
HOG;6;-3.33;-0.50;Usd
ENPH;2;-0.17;-0.08;Usd
PTON;2;-0.94;-0.16;Usd
FOLD;3;-75.85;-0.05;Usd
COLM;2;-0.28;-0.04;Usd
GOSS;2;0.36;-0.04;Usd
LTHM;3;-5.59;-0.06;Usd
CSCO;7;9.57;-0.27;Usd
TDOC;2;-0.34;-0.2;Usd
ENDP;6;1.07;-0.12;Usd
NOK;2;0.35;-0.08;Usd
CHL;4;-10.19;-0.08;Usd
FIVE;5;2713;-16.31;Rub
BILI;2;-3.26;-0.14;Usd

