AMAT;1;2;-1.18;-0.60
AMCX;1;5;-1.40;-0.59
APA;2;34;-0.34;-0.07
ARCT;1;3;2.94;1.47
CCL;1;13;2.99;1.24
DIS;1;1;-1.20;-0.74
DISCA;1;5;-1.40;-0.67
DKNG;2;8;9.20;2.23
F;1;23;0.00;0
FB;1;1;0.58;0.22
FSLY;1;2;-1.68;-0.79
GE;1;22;0.44;0.18
JWN;1;6;-0.06;-0.03
KO;1;5;2.55;1.07
KR;1;6;-0.36;-0.16
M;2;29;1.45;0.30
MAC;1;11;5.61;2.44
MFGP;1;42;2.52;1.03
NET;1;1;0.51;0.70
NOK;2;79;30.02;6.06
OXY;1;12;2.04;0.85
PBF;1;23;3.68;1.51
PBI;1;23;1.61;0.67
SNAP;1;5;3.45;1.47
SPCE;1;5;45.00;21.18
TER;1;2;-0.68;-0.28
TRIP;1;7;-2.80;-1.20
TSLA;1;1;4.38;0.53
ZYXI;1;12;5.64;2.38
