AA_BBG00B3T3HD3_2021-01-28;AA;1;14;3.78;1.53
AA_BBG00B3T3HD3_2021-03-04;AA;1;8;7.20;3.05
AAL_BBG005P7Q881_2020-12-16;AAL;1;15;3.90;1.57
AAL_BBG005P7Q881_2020-12-21;AAL;1;15;-8.55;-3.50
AAL_BBG005P7Q881_2020-12-22;AAL;1;15;3.30;1.39
AAL_BBG005P7Q881_2021-02-26;AAL;1;12;-3.00;-1.24
AAL_BBG005P7Q881_2021-03-18;AAL;1;10;4.90;1.99
AAN_BBG00WCNDCZ6_2021-04-12;AAN;1;6;2.28;1.58
AAPL_BBG000B9XRY4_2021-04-14;AAPL;1;1;1.83;1.39
AAPL_BBG000B9XRY4_2021-04-19;AAPL;2;2;6.70;2.58
ABNB_BBG001Y2XS07_2020-12-21;ABNB;1;1;5.70;3.74
ABNB_BBG001Y2XS07_2021-01-06;ABNB;1;1;1.94;1.34
ABNB_BBG001Y2XS07_2021-01-22;ABNB;1;1;3.54;2.04
ABNB_BBG001Y2XS07_2021-02-03;ABNB;1;1;5.57;3.16
ABNB_BBG001Y2XS07_2021-02-22;ABNB;1;1;12.04;6.34
ABNB_BBG001Y2XS07_2021-03-05;ABNB;1;1;0.83;0.47
ABNB_BBG001Y2XS07_2021-03-10;ABNB;1;1;4.92;2.73
ACAD_BBG000BHG9K0_2021-03-17;ACAD;1;9;-1.71;-0.69
ACAD_BBG000BHG9K0_2021-03-19;ACAD;1;2;0.44;0.81
ACAD_BBG000BHG9K0_2021-03-29;ACAD;1;9;0.54;0.23
ACAD_BBG000BHG9K0_2021-04-14;ACAD;1;12;2.52;1.02
ACH_BBG000CMRVH1_2020-12-04;ACH;1;27;4.32;1.78
ACH_BBG000CMRVH1_2020-12-14;ACH;1;28;3.36;1.38
ACH_BBG000CMRVH1_2020-12-22;ACH;1;4;0.84;2.39
ACH_BBG000CMRVH1_2021-01-22;ACH;1;28;-1.40;-0.57
ACH_BBG000CMRVH1_2021-02-24;ACH;1;19;6.46;2.69
ACH_BBG000CMRVH1_2021-03-12;ACH;1;19;2.66;1.08
ACH_BBG000CMRVH1_2021-03-12;ACH;2;37;17.39;3.61
ACH_BBG000CMRVH1_2021-03-16;ACH;1;18;2.70;1.13
ACH_BBG000CMRVH1_2021-03-18;ACH;1;19;3.04;1.25
ACH_BBG000CMRVH1_2021-03-23;ACH;1;21;0.42;0.17
ACH_BBG000CMRVH1_2021-03-24;ACH;1;24;-5.04;-2.04
ACH_BBG000CMRVH1_2021-03-29;ACH;1;23;1.38;0.57
ACH_BBG000CMRVH1_2021-03-30;ACH;1;3;0.06;0.19
ACH_BBG000CMRVH1_2021-03-31;ACH;1;23;-0.69;-0.29
ACH_BBG000CMRVH1_2021-03-31;ACH;1;23;-1.38;-0.57
ACH_BBG000CMRVH1_2021-04-09;ACH;2;41;11.89;2.47
ACH_BBG000CMRVH1_2021-04-12;ACH;2;44;14.08;2.87
ACH_BBG000CMRVH1_2021-04-16;ACH;1;21;5.46;2.19
ADBE_BBG000BB5006_2021-04-19;ADBE;1;1;47.34;10.01
