2021-05-30 21:28:42 67      mode=TestTradeBot;DumpQuotes=false;SubscribeQuotes=false;Strategies=ImpulseStrategy;Token=token.txt;ConfigPath=usd.json;CandlesPath=C:\tinkoff\TestData\RawQuotes\5m\uncompressed\new\quotes_2021-02-22;
2021-05-30 21:28:42 68      Trade bot created
2021-05-30 21:28:42 70      Fake connection created
2021-05-30 21:28:43 75      List of disabled tickers: 
2021-05-30 21:28:43 76      AA_BBG00B3T3HD3_2021-02-22
2021-05-30 21:28:43 88      AA: BuyPending. Strategy: ImpulseStrategy. Price: 23.66. StopLoss: 23.41. Candle: ID:2629, Time: 15:00, Close: 23.66. Details: Trend: 14:45(2048)-15:00(2630). PrevMinMax: 23.08/23.5. Trend AB: 0.73583/23.19770. Trend Max/Fall/SD: 23.66/0.51/0.17; TrendGrow: +2.03%. DayAvgChange: 0.43%
2021-05-30 21:28:43 90      AA: OrderID: 7b13211e. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:28:43 90      AA: OrderID: 7b13211e partially executed. Executed lots: 1. OrderStatus: 1/10 lots
2021-05-30 21:28:43 92      AA: OrderID: 7b13211e partially executed. Executed lots: 3. OrderStatus: 4/10 lots
2021-05-30 21:28:43 92      AA: OrderID: 7b13211e partially executed. Executed lots: 1. OrderStatus: 5/10 lots
2021-05-30 21:28:43 92      AA: OrderID: 7b13211e partially executed. Executed lots: 2. OrderStatus: 7/10 lots
2021-05-30 21:28:43 92      AA: OrderID: 7b13211e partially executed. Executed lots: 1. OrderStatus: 8/10 lots
2021-05-30 21:28:43 92      AA: OrderID: 7b13211e fully executed
2021-05-30 21:28:43 92      AA: Pulling stop loss to current price. Price: 23.46. MaxPrice: 23.65. Candle: ID:2670, Time: 15:05, Close: 23.68.
2021-05-30 21:28:43 92      AA: Pulling stop loss to current price. Price: 23.53. MaxPrice: 23.72. Candle: ID:2874, Time: 15:10, Close: 23.77.
2021-05-30 21:28:43 92      AA: Pulling stop loss to current price. Price: 23.65. MaxPrice: 23.98. Candle: ID:3192, Time: 15:15, Close: 24.01.
2021-05-30 21:28:43 92      AA: Pulling stop loss to current price. Price: 23.96. MaxPrice: 24.07. Candle: ID:3505, Time: 15:25, Close: 24.1.
2021-05-30 21:28:43 92      AA: SL reached. Pending. Close price: 23.95. Candle: ID:3860, Time: 15:35, Close: 23.95. Profit: 0.29(1.23%)
2021-05-30 21:28:43 93      AA: OrderID: bbb444a5. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:28:43 93      AA: OrderID: bbb444a5 fully executed
2021-05-30 21:28:43 99      AAL_BBG005P7Q881_2021-02-22
2021-05-30 21:28:44 12      AAL: BuyPending. Strategy: ImpulseStrategy. Price: 19.1. StopLoss: 18.73. Candle: ID:721, Time: 8:25, Close: 19.1. Details: Trend: 8:10(510)-8:25(722). PrevMinMax: 18.6/18.79. Trend AB: 1.04534/18.81387. Trend Max/Fall/SD: 19.1/0.95/0.25; TrendGrow: +2.08%. DayAvgChange: 0.29%
2021-05-30 21:28:44 12      AAL: OrderID: d2d1c787. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:28:44 12      AAL: OrderID: d2d1c787 partially executed. Executed lots: 1. OrderStatus: 1/13 lots
2021-05-30 21:28:44 12      AAL: Pulling stop loss to current price. Price: 18.83. MaxPrice: 18.99. Candle: ID:722, Time: 8:25, Close: 19.06.
2021-05-30 21:28:44 12      AAL: OrderID: d2d1c787 partially executed. Executed lots: 3. OrderStatus: 4/13 lots
2021-05-30 21:28:44 12      AAL: OrderID: d2d1c787 partially executed. Executed lots: 1. OrderStatus: 5/13 lots
2021-05-30 21:28:44 12      AAL: OrderID: d2d1c787 partially executed. Executed lots: 3. OrderStatus: 8/13 lots
2021-05-30 21:28:44 12      AAL: OrderID: d2d1c787 partially executed. Executed lots: 2. OrderStatus: 10/13 lots
2021-05-30 21:28:44 12      AAL: OrderID: d2d1c787 fully executed
2021-05-30 21:28:44 12      AAL: Pulling stop loss to current price. Price: 18.89. MaxPrice: 19.06. Candle: ID:730, Time: 8:30, Close: 19.08.
2021-05-30 21:28:44 12      AAL: Pulling stop loss to current price. Price: 18.99. MaxPrice: 19.14. Candle: ID:794, Time: 8:35, Close: 19.22.
2021-05-30 21:28:44 12      AAL: SL reached. Pending. Close price: 18.91. Candle: ID:1003, Time: 8:50, Close: 18.91. Profit: -0.19(-0.99%)
2021-05-30 21:28:44 12      AAL: OrderID: 708ace8b. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:28:44 13      AAL: OrderID: 708ace8b fully executed
2021-05-30 21:28:44 13      AAL: BuyPending. Strategy: ImpulseStrategy. Price: 19.4. StopLoss: 19.19. Candle: ID:1689, Time: 9:50, Close: 19.4. Details: Trend: 9:35(1418)-9:50(1690). PrevMinMax: 18.65/19.06. Trend AB: 1.23737/19.03991. Trend Max/Fall/SD: 19.4/0.52/0.16; TrendGrow: +2.16%. DayAvgChange: 0.45%
2021-05-30 21:28:44 13      AAL: OrderID: 0752af72. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:28:44 14      AAL: OrderID: 0752af72 fully executed
