AA;1;9;-1.89;-0.81
ABNB;1;1;-0.73;-0.49
ABNB;1;1;0.40;0.26
ABNB;1;1;-1.57;-1.02
ACAD;1;4;-4.88;-2.21
AMAT;1;2;2.40;1.29
AMD;1;2;5.76;3.12
APA;1;14;0.70;0.29
APTV;1;1;0.88;0.61
ARWR;1;3;8.25;3.62
BBBY;1;13;-4.16;-1.73
BBBY;1;13;1.95;0.79
BIDU;1;1;1.29;0.62
BILI;1;1;4.04;3.79
CBRE;1;4;0.08;0.03
CCL;1;12;1.92;0.77
CFG;1;6;1.44;0.60
CHX;1;13;0.26;0.11
CLF;1;13;-1.43;-0.60
CMA;1;3;0.93;0.49
CNC;1;3;0.21;0.10
CNK;1;14;-1.96;-0.80
COG;1;14;0.00;0
COTY;1;35;-0.35;-0.14
COUP;1;1;1.28;0.39
CPRI;1;5;-2.60;-1.16
CREE;1;2;-2.82;-1.18
CREE;1;2;-1.54;-0.64
CROX;1;3;-4.20;-2.02
CRWD;1;1;3.00;1.39
CTVA;1;5;-3.60;-1.70
DBX;1;11;3.52;1.44
DD;1;3;3.36;1.42
DDOG;1;2;0.70;0.37
DHR;1;1;-1.94;-0.80
DISCA;1;7;1.89;0.78
DOCU;1;1;4.13;1.79
DVN;1;13;10.01;4.21
DXC;1;8;-1.28;-0.55
EA;1;1;1.59;1.15
EBAY;1;4;-1.84;-0.85
EDIT;1;2;7.70;4.61
ENPH;1;1;5.40;2.54
EOG;1;4;1.20;0.53
EOG;1;4;-0.04;-0.02
EQT;1;16;-4.32;-1.79
ET;1;37;-0.74;-0.30
ETSY;1;1;-2.00;-1.16
EVH;1;14;-1.40;-0.57
EXAS;1;1;-0.64;-0.50
EXAS;1;1;-0.89;-0.69
EXEL;1;11;-2.09;-0.85
FANG;1;4;2.16;0.93
FATE;1;2;9.18;4.43
FCX;1;7;0.42;0.19
FIS;1;1;-1.31;-0.94
FITB;1;7;3.92;1.79
FSLR;1;2;0.70;0.33
FSLY;1;2;-0.64;-0.38
FSLY;1;2;-0.08;-0.05
FTI;1;22;-5.72;-2.32
FTI;1;22;3.08;1.24
GH;1;1;-1.05;-0.77
GPS;1;11;-1.87;-0.78
GT;1;22;-0.88;-0.36
HBAN;1;17;0.51;0.21
HOLX;1;3;-2.52;-1.05
IIVI;1;3;2.22;0.91
INCY;1;2;5.56;3.24
IOVA;1;5;-1.20;-0.50
JWN;1;7;-4.83;-1.99
JWN;1;7;-2.52;-1.05
KEY;1;13;-0.52;-0.21
KLAC;1;1;-1.66;-0.61
LB;1;5;9.10;4.08
LRCX;1;1;-2.57;-0.50
LTHM;1;11;-3.08;-1.27
LTHM;1;11;0.77;0.32
LULU;1;1;-0.81;-0.22
LYB;1;2;-0.38;-0.19
LYFT;1;5;0.95;0.39
M;1;19;0.00;0
MAC;1;21;-1.89;-0.76
MCHP;1;1;-0.59;-0.40
MDRX;1;15;-1.20;-0.51
MMM;1;1;-1.78;-1.03
MPC;1;5;1.45;0.66
MRNA;1;2;-3.94;-1.61
MRO;1;32;0.00;0
MRO;1;31;-2.48;-1.02
MTCH;1;1;-0.98;-0.64
MTG;1;19;-0.57;-0.23
MU;1;3;-2.61;-1.09
MUR;1;16;-2.88;-1.20
MUR;1;16;-2.56;-1.06
NEM;1;3;-2.10;-1.07
NEO;1;4;2.96;1.44
NEO;1;4;-2.28;-1.05
NET;1;3;1.56;0.69
NTES;1;2;-2.28;-1.07
NTES;1;2;8.70;4.04
NTLA;1;3;-4.98;-2.23
NTRS;1;2;-0.84;-0.42
NVTA;1;5;0.30;0.13
NXPI;1;1;0.02;0.01
OKTA;1;1;-0.25;-0.10
OLLI;1;2;0.66;0.35
OSUR;1;20;-0.60;-0.25
OXY;1;12;-2.76;-1.13
OXY;1;12;-0.48;-0.20
OXY;1;12;2.40;0.96
PBF;1;34;-2.72;-1.10
PBF;1;34;-3.40;-1.36
PINS;1;3;2.55;1.24
PLAN;1;3;-1.20;-0.57
PLAY;1;7;-0.56;-0.25
PNC;1;1;-0.79;-0.49
PSTG;1;10;-3.60;-1.53
PTON;1;1;-1.57;-1.06
PXD;1;1;-0.15;-0.12
PXD;1;1;-0.68;-0.52
PYPL;1;1;0.77;0.33
QCOM;1;1;0.71;0.46
QDEL;1;1;-2.45;-1.18
QRVO;1;1;-0.47;-0.27
RCL;1;3;3.24;1.47
RDFN;1;3;7.17;3.42
RF;1;14;0.42;0.17
ROKU;1;1;10.25;2.88
RRC;1;31;-2.79;-1.15
RRC;1;31;-1.86;-0.76
SBGI;1;7;-2.17;-0.91
SDGR;1;2;0.36;0.21
SEDG;1;1;-4.04;-1.11
SEDG;1;1;7.42;2.06
SIG;1;7;-3.22;-1.35
SNAP;1;4;3.96;1.95
SNAP;1;4;0.32;0.15
SONO;1;10;-1.60;-0.65
SPCE;1;9;3.06;1.35
SPCE;1;9;-1.62;-0.70
SPG;1;2;-1.12;-0.64
SQ;1;1;0.93;0.39
TDOC;1;1;3.52;1.67
TDOC;1;1;-0.32;-0.15
TFC;1;4;4.16;2.06
TPR;1;7;-2.94;-1.19
TRIP;1;7;2.45;1.10
TRIP;1;7;-3.78;-1.65
TRMB;1;3;3.60;1.72
TSLA;1;1;-0.48;-0.06
TTD;1;1;-1.88;-0.25
TWLO;1;1;9.16;2.67
TWOU;1;6;1.20;0.49
TWTR;1;4;0.76;0.36
UAL;1;5;-0.35;-0.16
UBER;1;4;4.32;2.01
UNH;1;1;-1.40;-0.39
UPWK;1;6;-0.84;-0.37
WBA;1;5;7.20;3.24
WDC;1;4;-1.76;-0.81
WFC;1;7;-2.52;-1.05
XLNX;1;1;-0.07;-0.05
Z;1;1;-2.16;-1.56
ZION;1;4;2.68;1.34
ZM;1;1;-4.78;-1.36
ZS;1;1;3.22;1.69
ZYXI;1;16;-0.16;-0.07
ZYXI;1;16;0.00;0
