2021-05-30 21:29:22 34      mode=TestTradeBot;DumpQuotes=false;SubscribeQuotes=false;Strategies=ImpulseStrategy;Token=token.txt;ConfigPath=usd.json;CandlesPath=C:\tinkoff\TestData\RawQuotes\5m\uncompressed\new\quotes_2021-03-12;
2021-05-30 21:29:22 35      Trade bot created
2021-05-30 21:29:22 41      Fake connection created
2021-05-30 21:29:23 98      List of disabled tickers: 
2021-05-30 21:29:24 01      A_BBG000C2V3D6_2021-03-12
2021-05-30 21:29:24 11      AA_BBG00B3T3HD3_2021-03-12
2021-05-30 21:29:24 16      AA: BuyPending. Strategy: ImpulseStrategy. Price: 32.27. StopLoss: 31.60. Candle: ID:1190, Time: 14:35, Close: 32.27. Details: Trend: 14:30(892)-14:35(1191). PrevMinMax: 31.78/31.9. Trend AB: 1.10726/31.68666. Trend Max/Fall/SD: 32.27/1.03/0.35; TrendGrow: +2.12%. DayAvgChange: 0.14%
2021-05-30 21:29:24 17      AA: OrderID: a1a29c10. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:29:24 18      AA: OrderID: a1a29c10 fully executed
2021-05-30 21:29:24 19      AA: Pulling stop loss to current price. Price: 31.8. MaxPrice: 32.02. Candle: ID:1191, Time: 14:35, Close: 32.27.
2021-05-30 21:29:24 19      AA: Pulling stop loss to current price. Price: 31.89. MaxPrice: 32.36. Candle: ID:1241, Time: 14:40, Close: 32.4.
2021-05-30 21:29:24 19      AA: SL reached. Pending. Close price: 31.87. Candle: ID:1586, Time: 15:00, Close: 31.87. Profit: -0.40(-1.24%)
2021-05-30 21:29:24 19      AA: OrderID: 77c980be. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:29:24 22      AA: OrderID: 77c980be fully executed
2021-05-30 21:29:24 27      AAL_BBG005P7Q881_2021-03-12
2021-05-30 21:29:24 37      AAL: BuyPending. Strategy: ImpulseStrategy. Price: 22.44. StopLoss: 22.13. Candle: ID:2961, Time: 14:30, Close: 22.44. Details: OutletTime: 13:55(2247)-14:30(2962). OutletMinMax: 22.08/22.31. TrendAB: 0.27899/22.14358. CurrentChange: +1.17%. DayAvgChange: 0.22%. MaxFall: 0.58%, SD: 0.20
2021-05-30 21:29:24 38      AAL: OrderID: 336a4014. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:29:24 38      AAL: OrderID: 336a4014 fully executed
2021-05-30 21:29:24 38      AAL: Pulling stop loss to current price. Price: 22.15. MaxPrice: 22.19. Candle: ID:2962, Time: 14:30, Close: 22.44.
2021-05-30 21:29:24 38      AAL: Rebuild trend due to changeFromTrend(0.62%) > MaxFall(0.58%). Candle: ID:3029, Time: 14:30, Close: 22.5. Trend: A: 0.34873, B: 22.12624, Max: 22.5, MaxFall: 0.58, SD: 0.23
2021-05-30 21:29:24 38      AAL: Pulling stop loss to current price. Price: 22.16. MaxPrice: 22.66. Candle: ID:3907, Time: 14:35, Close: 22.69.
2021-05-30 21:29:24 39      AAL: Pulling stop loss to current price. Price: 22.55. MaxPrice: 22.68. Candle: ID:5781, Time: 14:45, Close: 22.71.
2021-05-30 21:29:24 40      AAL: Pulling stop loss to current price. Price: 22.61. MaxPrice: 22.95. Candle: ID:7716, Time: 15:00, Close: 22.98.
2021-05-30 21:29:24 45      AAL: Pulling stop loss to current price. Price: 22.92. MaxPrice: 23.15. Candle: ID:11791, Time: 15:40, Close: 23.18.
2021-05-30 21:29:24 45      AAL: Pulling stop loss to current price. Price: 23.05. MaxPrice: 23.28. Candle: ID:12073, Time: 15:45, Close: 23.31.
2021-05-30 21:29:24 46      AAL: Pulling stop loss to current price. Price: 23.24. MaxPrice: 23.32. Candle: ID:12990, Time: 15:55, Close: 23.35.
2021-05-30 21:29:24 46      AAL: Pulling stop loss to current price. Price: 23.28. MaxPrice: 23.36. Candle: ID:13683, Time: 16:05, Close: 23.39.
2021-05-30 21:29:24 46      AAL: SL reached. Pending. Close price: 23.27. Candle: ID:15043, Time: 16:20, Close: 23.27. Profit: 0.83(3.70%)
2021-05-30 21:29:24 47      AAL: OrderID: 0899f982. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:29:24 48      AAL: OrderID: 0899f982 fully executed
2021-05-30 21:29:24 56      AAN_BBG00WCNDCZ6_2021-03-12
2021-05-30 21:29:24 58      AAON_BBG000C2LZP3_2021-03-12
2021-05-30 21:29:24 59      AAP_BBG000F7RCJ1_2021-03-12
2021-05-30 21:29:24 63      AAPL_BBG000B9XRY4_2021-03-12
2021-05-30 21:29:25 58      ABBV_BBG0025Y4RY4_2021-03-12
2021-05-30 21:29:25 66      ABC_BBG000MDCQC2_2021-03-12
2021-05-30 21:29:25 67      ABG_BBG000BKDWB5_2021-03-12
2021-05-30 21:29:25 68      ABMD_BBG000C101X4_2021-03-12
2021-05-30 21:29:25 73      ABNB_BBG001Y2XS07_2021-03-12
2021-05-30 21:29:25 81      ABNB: BuyPending. Strategy: ImpulseStrategy. Price: 197. StopLoss: 193.96. Candle: ID:1309, Time: 14:50, Close: 197. Details: Trend: 14:40(1078)-14:50(1310). PrevMinMax: 192.12/196.89. Trend AB: 12.34786/193.61766. Trend Max/Fall/SD: 197/0.77/0.25; TrendGrow: +2.36%. DayAvgChange: 0.59%
2021-05-30 21:29:25 81      ABNB: OrderID: 4b8ef98d. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:29:25 83      ABNB: OrderID: 4b8ef98d fully executed
2021-05-30 21:29:25 83      ABNB: Pulling stop loss to current price. Price: 194.91. MaxPrice: 198.18. Candle: ID:1400, Time: 14:55, Close: 198.54.
2021-05-30 21:29:25 83      ABNB: Pulling stop loss to current price. Price: 195.25. MaxPrice: 200.41. Candle: ID:1803, Time: 15:00, Close: 200.71.
2021-05-30 21:29:25 83      ABNB: SL reached. Pending. Close price: 195. Candle: ID:2767, Time: 15:35, Close: 195. Profit: -2.00(-1.02%)
2021-05-30 21:29:25 84      ABNB: OrderID: 9d749044. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:29:25 85      ABNB: OrderID: 9d749044 fully executed
2021-05-30 21:29:25 86      ABNB: BuyPending. Strategy: ImpulseStrategy. Price: 198.8. StopLoss: 196.45. Candle: ID:3407, Time: 16:15, Close: 198.8. Details: Trend: 16:00(3142)-16:15(3408). PrevMinMax: 194.44/198.72. Trend AB: 11.27242/195.23701. Trend Max/Fall/SD: 198.8/0.59/0.18; TrendGrow: +2.21%. DayAvgChange: 0.36%
2021-05-30 21:29:25 86      ABNB: OrderID: c2533e2c. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:29:25 87      ABNB: OrderID: c2533e2c fully executed
2021-05-30 21:29:25 87      ABNB: Pulling stop loss to current price. Price: 196.97. MaxPrice: 198.42. Candle: ID:3464, Time: 16:20, Close: 198.7.
2021-05-30 21:29:25 87      ABNB: Pulling stop loss to current price. Price: 199.66. MaxPrice: 200.3. Candle: ID:4060, Time: 17:00, Close: 200.59.
2021-05-30 21:29:25 87      ABNB: Pulling stop loss to current price. Price: 199.89. MaxPrice: 200.84. Candle: ID:4259, Time: 17:05, Close: 201.07.
2021-05-30 21:29:25 87      ABNB: Pulling stop loss to current price. Price: 200.3. MaxPrice: 201.87. Candle: ID:4466, Time: 17:20, Close: 202.2.
2021-05-30 21:29:25 87      ABNB: Pulling stop loss to current price. Price: 201.7. MaxPrice: 202.94. Candle: ID:4774, Time: 17:30, Close: 203.25.
2021-05-30 21:29:25 87      ABNB: SL reached. Pending. Close price: 201.69. Candle: ID:4887, Time: 17:35, Close: 201.69. Profit: 2.89(1.45%)
2021-05-30 21:29:25 87      ABNB: OrderID: 668dca4f. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:29:25 89      ABNB: OrderID: 668dca4f fully executed
2021-05-30 21:29:25 92      ABT_BBG000B9ZXB4_2021-03-12
2021-05-30 21:29:25 97      ACAD_BBG000BHG9K0_2021-03-12
2021-05-30 21:29:26 06      ACH_BBG000CMRVH1_2021-03-12
2021-05-30 21:29:26 07      ACH: SPYKE!. Candle: ID:113, Time: 7:15, Close: 12.83
2021-05-30 21:29:26 09      ACM_BBG000F61RJ8_2021-03-12
2021-05-30 21:29:26 11      ACMR_BBG00HPSG933_2021-03-12
2021-05-30 21:29:26 12      ACN_BBG000D9D830_2021-03-12
2021-05-30 21:29:26 14      ADBE_BBG000BB5006_2021-03-12
2021-05-30 21:29:26 20      ADM_BBG000BB6WG8_2021-03-12
2021-05-30 21:29:26 25      ADP_BBG000JG0547_2021-03-12
2021-05-30 21:29:26 29      ADPT_BBG001J2PFF5_2021-03-12
2021-05-30 21:29:26 31      ADS_BBG000BFNR17_2021-03-12
2021-05-30 21:29:26 33      ADSK_BBG000BM7HL0_2021-03-12
2021-05-30 21:29:26 38      ADUS_BBG000NJGX84_2021-03-12
2021-05-30 21:29:26 39      AEE_BBG000B9X8C0_2021-03-12
2021-05-30 21:29:26 41      AEIS_BBG000FKMP26_2021-03-12
2021-05-30 21:29:26 45      AEO_BBG000BGXZB5_2021-03-12
2021-05-30 21:29:26 48      AERI_BBG001KJ7WJ5_2021-03-12
2021-05-30 21:29:26 51      AES_BBG000C23KJ3_2021-03-12
2021-05-30 21:29:26 55      AFG_BBG000DPKKK0_2021-03-12
2021-05-30 21:29:26 56      AFL_BBG000BBBNC6_2021-03-12
2021-05-30 21:29:26 59      AGCO_BBG000DCCZW2_2021-03-12
2021-05-30 21:29:26 61      AGIO_BBG000QY4ZD0_2021-03-12
2021-05-30 21:29:26 62      AIG_BBG000BBDZG3_2021-03-12
2021-05-30 21:29:26 66      AIR_BBG000BBGQF1_2021-03-12
2021-05-30 21:29:26 67      AIRC_BBG00XK3WVD0_2021-03-12
2021-05-30 21:29:26 69      AIT_BBG000BBHHP9_2021-03-12
2021-05-30 21:29:26 70      AIV_BBG000DD3510_2021-03-12
2021-05-30 21:29:26 73      AIZ_BBG000BZX1N5_2021-03-12
2021-05-30 21:29:26 74      AJG_BBG000BBHXQ3_2021-03-12
2021-05-30 21:29:26 76      AJRD_BBG000BKRHQ7_2021-03-12
2021-05-30 21:29:26 77      AKAM_BBG000BJQWD2_2021-03-12
2021-05-30 21:29:26 81      ALB_BBG000BJ26K7_2021-03-12
2021-05-30 21:29:26 82      ALGN_BBG000BRNLL2_2021-03-12
2021-05-30 21:29:26 87      ALGT_BBG000LJS6B8_2021-03-12
2021-05-30 21:29:26 89      ALK_BBG000BBL0Y1_2021-03-12
2021-05-30 21:29:26 91      ALL_BBG000BVMGF2_2021-03-12
2021-05-30 21:29:26 94      ALLE_BBG003PS7JV1_2021-03-12
2021-05-30 21:29:26 95      ALLK_BBG003QBJKN0_2021-03-12
2021-05-30 21:29:26 95      ALLO_BBG00KHRRDX3_2021-03-12
2021-05-30 21:29:26 97      ALLO: BuyPending. Strategy: ImpulseStrategy. Price: 38.08. StopLoss: 37.31. Candle: ID:409, Time: 13:00, Close: 38.08. Details: OutletTime: 12:20(370)-13:00(410). OutletMinMax: 36.7/37.07. TrendAB: 10.99906/37.64427. CurrentChange: +2.42%. DayAvgChange: 0.18%. MaxFall: 1.18%, SD: 0.33
2021-05-30 21:29:26 97      ALLO: OrderID: 873233e5. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:29:26 98      ALLO: OrderID: 873233e5 fully executed
2021-05-30 21:29:26 98      ALLO: Price does not grow. Try to set TakeProfit. Price: 37.91. Candle: ID:427, Time: 13:20, Close: 37.71.
2021-05-30 21:29:26 98      ALLO: TP reached. Pending. Close price: 38.03. Candle: ID:429, Time: 13:20, Close: 38.03. Profit: -0.05(-0.13%)
2021-05-30 21:29:26 98      ALLO: OrderID: 35221b3e. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:29:26 98      ALLO: OrderID: 35221b3e partially executed. Executed lots: 3. OrderStatus: 3/6 lots
2021-05-30 21:29:26 98      ALLO: OrderID: 35221b3e fully executed
2021-05-30 21:29:27 00      ALLY_BBG000BC2R71_2021-03-12
2021-05-30 21:29:27 03      ALNY_BBG000BFGNJ5_2021-03-12
2021-05-30 21:29:27 04      ALRM_BBG007GNPYY7_2021-03-12
2021-05-30 21:29:27 07      ALSN_BBG001KY3845_2021-03-12
2021-05-30 21:29:27 08      ALTR_BBG000PN9NB9_2021-03-12
2021-05-30 21:29:27 08      ALTR: SPYKE!. Candle: ID:64, Time: 14:25, Close: 58.97
2021-05-30 21:29:27 08      ALTR: SPYKE!. Candle: ID:65, Time: 14:30, Close: 59.45
2021-05-30 21:29:27 09      ALXN_BBG000G30YX4_2021-03-12
2021-05-30 21:29:27 13      AMAT_BBG000BBPFB9_2021-03-12
2021-05-30 21:29:27 23      AMCX_BBG000H01H92_2021-03-12
2021-05-30 21:29:27 24      AMCX: BuyPending. Strategy: ImpulseStrategy. Price: 75.81. StopLoss: 74.06. Candle: ID:234, Time: 14:55, Close: 75.81. Details: Trend: 14:40(134)-14:55(235). PrevMinMax: 72.13/74.85. Trend AB: 19.43436/74.24858. Trend Max/Fall/SD: 76.27/1.15/0.39; TrendGrow: +2.68%. DayAvgChange: 0.67%
2021-05-30 21:29:27 24      AMCX: OrderID: c0ea1fdd. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:29:27 24      AMCX: OrderID: c0ea1fdd fully executed
2021-05-30 21:29:27 24      AMCX: Pulling stop loss to current price. Price: 74.1. MaxPrice: 75.32. Candle: ID:235, Time: 14:55, Close: 75.8.
2021-05-30 21:29:27 24      AMCX: Pulling stop loss to current price. Price: 74.45. MaxPrice: 75.9. Candle: ID:248, Time: 15:00, Close: 76.05.
