2021-05-30 21:37:34 32      mode=TestTradeBot;DumpQuotes=false;SubscribeQuotes=false;Strategies=GoodGrowStrategy;Token=token.txt;ConfigPath=usd.json;CandlesPath=C:\tinkoff\TestData\RawQuotes\5m\uncompressed\new\quotes_2021-02-22;
2021-05-30 21:37:34 33      Trade bot created
2021-05-30 21:37:34 35      Fake connection created
2021-05-30 21:37:35 00      List of disabled tickers: 
2021-05-30 21:37:35 01      AA_BBG00B3T3HD3_2021-02-22
2021-05-30 21:37:35 07      AA: BuyPending. Strategy: GoodGrowStrategy. Price: 23.6. StopLoss: 23.3. Candle: ID:2587, Time: 15:00, Close: 23.6. Details: Reason: Grow:0.43%;0.69%;0.34%;0.30%;
2021-05-30 21:37:35 07      AA: OrderID: cc3a1b20. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:37:35 07      AA: OrderID: cc3a1b20 fully executed
2021-05-30 21:37:35 07      AA: Pulling stop loss to current price. Price: 23.46. MaxPrice: 23.65. Candle: ID:2671, Time: 15:05, Close: 23.68.
2021-05-30 21:37:35 07      AA: Pulling stop loss to current price. Price: 23.53. MaxPrice: 23.72. Candle: ID:2875, Time: 15:10, Close: 23.77.
2021-05-30 21:37:35 07      AA: Pulling stop loss to current price. Price: 23.65. MaxPrice: 23.98. Candle: ID:3086, Time: 15:15, Close: 23.97.
2021-05-30 21:37:35 07      AA: Pulling stop loss to current price. Price: 23.96. MaxPrice: 24.07. Candle: ID:3506, Time: 15:25, Close: 24.1.
2021-05-30 21:37:35 07      AA: SL reached. Pending. Close price: 23.95. Candle: ID:3861, Time: 15:35, Close: 23.95. Profit: 0.35(1.48%)
2021-05-30 21:37:35 07      AA: OrderID: 74132dfb. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:37:35 07      AA: OrderID: 74132dfb fully executed
2021-05-30 21:37:35 12      AAL_BBG005P7Q881_2021-02-22
2021-05-30 21:37:35 17      AAL: BuyPending. Strategy: GoodGrowStrategy. Price: 18.89. StopLoss: 18.7. Candle: ID:541, Time: 8:15, Close: 18.89. Details: Reason: Grow:0.32%;0.37%;0.43%;0.32%;
