2021-05-30 21:38:16 33      mode=TestTradeBot;DumpQuotes=false;SubscribeQuotes=false;Strategies=GoodGrowStrategy;Token=token.txt;ConfigPath=usd.json;CandlesPath=C:\tinkoff\TestData\RawQuotes\5m\uncompressed\new\quotes_2021-03-11;
2021-05-30 21:38:16 34      Trade bot created
2021-05-30 21:38:16 36      Fake connection created
2021-05-30 21:38:17 02      List of disabled tickers: 
2021-05-30 21:38:17 03      A_BBG000C2V3D6_2021-03-11
2021-05-30 21:38:17 10      AA_BBG00B3T3HD3_2021-03-11
2021-05-30 21:38:17 16      AAL_BBG005P7Q881_2021-03-11
2021-05-30 21:38:17 27      AAN_BBG00WCNDCZ6_2021-03-11
2021-05-30 21:38:17 28      AAON_BBG000C2LZP3_2021-03-11
2021-05-30 21:38:17 29      AAP_BBG000F7RCJ1_2021-03-11
2021-05-30 21:38:17 30      AAPL_BBG000B9XRY4_2021-03-11
2021-05-30 21:38:17 81      ABBV_BBG0025Y4RY4_2021-03-11
2021-05-30 21:38:17 87      ABC_BBG000MDCQC2_2021-03-11
2021-05-30 21:38:17 88      ABG_BBG000BKDWB5_2021-03-11
2021-05-30 21:38:17 89      ABMD_BBG000C101X4_2021-03-11
2021-05-30 21:38:17 90      ABNB_BBG001Y2XS07_2021-03-11
2021-05-30 21:38:17 94      ABNB: BuyPending. Strategy: GoodGrowStrategy. Price: 197.33. StopLoss: 194.07. Candle: ID:5058, Time: 17:10, Close: 197.33. Details: Reason: Grow:0.49%;0.43%;1.02%;0.32%;
2021-05-30 21:38:17 94      ABNB: OrderID: 74ebda9d. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:38:17 94      ABNB: OrderID: 74ebda9d fully executed
2021-05-30 21:38:17 95      ABNB: Seems price is decreases. Closing by current price. Price: 195.6. Candle: ID:5303, Time: 17:20, Close: 195.6.
2021-05-30 21:38:17 95      ABNB: SL reached. Pending. Close price: 195.57. Candle: ID:5304, Time: 17:20, Close: 195.57. Profit: -1.76(-0.89%)
2021-05-30 21:38:17 95      ABNB: OrderID: e15c0b17. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:38:17 95      ABNB: OrderID: e15c0b17 fully executed
2021-05-30 21:38:17 98      ABT_BBG000B9ZXB4_2021-03-11
2021-05-30 21:38:18 04      ACAD_BBG000BHG9K0_2021-03-11
2021-05-30 21:38:18 08      ACAD: BuyPending. Strategy: GoodGrowStrategy. Price: 27.85. StopLoss: 27.3. Candle: ID:1293, Time: 9:10, Close: 27.85. Details: Reason: DayMax: 27.29. Current change: +2.05%
2021-05-30 21:38:18 08      ACAD: OrderID: 7ec7e6f5. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:38:18 08      ACAD: OrderID: 7ec7e6f5 fully executed
2021-05-30 21:38:18 08      ACAD: Pulling stop loss to current price. Price: 27.59. MaxPrice: 28.06. Candle: ID:1363, Time: 9:15, Close: 28.1.
2021-05-30 21:38:18 08      ACAD: Seems price is decreases. Closing by current price. Price: 27.89. Candle: ID:1714, Time: 9:35, Close: 27.89.
2021-05-30 21:38:18 08      ACAD: SL reached. Pending. Close price: 27.88. Candle: ID:1726, Time: 9:35, Close: 27.88. Profit: 0.03(0.11%)
2021-05-30 21:38:18 08      ACAD: OrderID: 7abfffd0. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:38:18 09      ACAD: OrderID: 7abfffd0 fully executed
2021-05-30 21:38:18 14      ACAD: BuyPending. Strategy: GoodGrowStrategy. Price: 27.41. StopLoss: 26.72. Candle: ID:15922, Time: 22:20, Close: 27.41. Details: Reason: DayMax: 26.8. Current change: +2.28%
2021-05-30 21:38:18 14      ACAD: OrderID: 57cfb60a. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:38:18 14      ACAD: OrderID: 57cfb60a fully executed
2021-05-30 21:38:18 14      ACAD: SL reached. Pending. Close price: 26.7. Candle: ID:15924, Time: 22:20, Close: 26.7. Profit: -0.71(-2.59%)
2021-05-30 21:38:18 14      ACAD: OrderID: 6a6e32e0. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:38:18 14      ACAD: OrderID: 6a6e32e0 fully executed
2021-05-30 21:38:18 14      ACH_BBG000CMRVH1_2021-03-11
2021-05-30 21:38:18 16      ACM_BBG000F61RJ8_2021-03-11
2021-05-30 21:38:18 17      ACMR_BBG00HPSG933_2021-03-11
2021-05-30 21:38:18 18      ACMR: SPYKE!. Candle: ID:68, Time: 12:40, Close: 94.9
2021-05-30 21:38:18 19      ACN_BBG000D9D830_2021-03-11
2021-05-30 21:38:18 24      ADBE_BBG000BB5006_2021-03-11
2021-05-30 21:38:18 31      ADM_BBG000BB6WG8_2021-03-11
2021-05-30 21:38:18 34      ADP_BBG000JG0547_2021-03-11
2021-05-30 21:38:18 37      ADPT_BBG001J2PFF5_2021-03-11
2021-05-30 21:38:18 38      ADPT: BuyPending. Strategy: GoodGrowStrategy. Price: 43.77. StopLoss: 42.56. Candle: ID:881, Time: 15:00, Close: 43.77. Details: Reason: Grow:0.57%;1.03%;0.81%;0.53%;
2021-05-30 21:38:18 38      ADPT: OrderID: a82ded4c. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:38:18 38      ADPT: OrderID: a82ded4c fully executed
2021-05-30 21:38:18 38      ADPT: Pulling stop loss to current price. Price: 42.98. MaxPrice: 44.01. Candle: ID:990, Time: 15:05, Close: 44.04.
2021-05-30 21:38:18 38      ADPT: Pulling stop loss to current price. Price: 43.54. MaxPrice: 44.38. Candle: ID:1187, Time: 15:10, Close: 44.38.
2021-05-30 21:38:18 38      ADPT: Seems price is decreases. Closing by current price. Price: 43.73. Candle: ID:1431, Time: 15:20, Close: 43.73.
2021-05-30 21:38:18 38      ADPT: SL reached. Pending. Close price: 43.71. Candle: ID:1432, Time: 15:20, Close: 43.71. Profit: -0.06(-0.14%)
