2021-05-30 21:35:54 33      mode=TestTradeBot;DumpQuotes=false;SubscribeQuotes=false;Strategies=GoodGrowStrategy;Token=token.txt;ConfigPath=usd.json;CandlesPath=C:\tinkoff\TestData\RawQuotes\5m\uncompressed\quotes_2021-01-06;
2021-05-30 21:35:54 34      Trade bot created
2021-05-30 21:35:54 35      Fake connection created
2021-05-30 21:35:54 97      List of disabled tickers: 
2021-05-30 21:35:54 98      AA_BBG00B3T3HD3_2021-01-06
2021-05-30 21:35:55 02      AA: BuyPending. Strategy: GoodGrowStrategy. Price: 24.94. StopLoss: 24.45. Candle: ID:717, Time: 14:40, Close: 24.94. Details: Reason: DayMax: 24.44. Current change: +2.05%
2021-05-30 21:35:55 02      AA: OrderID: 0d158c8b. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:35:55 02      AA: OrderID: 0d158c8b fully executed
2021-05-30 21:35:55 03      AA: Pulling stop loss to current price. Price: 24.54. MaxPrice: 24.94. Candle: ID:781, Time: 14:45, Close: 24.94.
2021-05-30 21:35:55 03      AA: Pulling stop loss to current price. Price: 24.58. MaxPrice: 25.01. Candle: ID:885, Time: 14:50, Close: 25.03.
2021-05-30 21:35:55 03      AA: Pulling stop loss to current price. Price: 24.81. MaxPrice: 25.01. Candle: ID:1028, Time: 15:00, Close: 25.
2021-05-30 21:35:55 03      AA: Pulling stop loss to current price. Price: 24.84. MaxPrice: 25.06. Candle: ID:1075, Time: 15:05, Close: 25.06.
2021-05-30 21:35:55 03      AA: Pulling stop loss to current price. Price: 24.87. MaxPrice: 25.07. Candle: ID:1160, Time: 15:10, Close: 25.08.
2021-05-30 21:35:55 03      AA: Pulling stop loss to current price. Price: 25.04. MaxPrice: 25.15. Candle: ID:1214, Time: 15:15, Close: 25.16.
2021-05-30 21:35:55 03      AA: Pulling stop loss to current price. Price: 25.07. MaxPrice: 25.2. Candle: ID:1275, Time: 15:20, Close: 25.21.
2021-05-30 21:35:55 03      AA: Seems price is decreases. Closing by current price. Price: 25.13. Candle: ID:1357, Time: 15:30, Close: 25.13.
2021-05-30 21:35:55 03      AA: SL reached. Pending. Close price: 25.12. Candle: ID:1361, Time: 15:30, Close: 25.12. Profit: 0.18(0.72%)
2021-05-30 21:35:55 03      AA: OrderID: 180a1ec5. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:35:55 03      AA: OrderID: 180a1ec5 fully executed
2021-05-30 21:35:55 06      AAL_BBG005P7Q881_2021-01-06
2021-05-30 21:35:55 14      AAPL_BBG000B9XRY4_2021-01-06
2021-05-30 21:35:55 74      ABBV_BBG0025Y4RY4_2021-01-06
2021-05-30 21:35:55 80      ABNB_BBG001Y2XS07_2021-01-06
2021-05-30 21:35:55 83      ABT_BBG000B9ZXB4_2021-01-06
2021-05-30 21:35:55 86      ACAD_BBG000BHG9K0_2021-01-06
2021-05-30 21:35:55 88      ACH_BBG000CMRVH1_2021-01-06
2021-05-30 21:35:55 89      ADBE_BBG000BB5006_2021-01-06
2021-05-30 21:35:55 97      ADM_BBG000BB6WG8_2021-01-06
2021-05-30 21:35:55 97      ADM: BuyPending. Strategy: GoodGrowStrategy. Price: 52.47. StopLoss: 51.83. Candle: ID:313, Time: 14:45, Close: 52.47. Details: Reason: DayMax: 51.14. Current change: +2.60%
2021-05-30 21:35:55 97      ADM: OrderID: 8f062786. PlacedOrder. Status: New. RejectReason: 
2021-05-30 21:35:55 97      ADM: OrderID: 8f062786 fully executed
2021-05-30 21:35:55 97      ADM: Pulling stop loss to current price. Price: 52.11. MaxPrice: 52.49. Candle: ID:364, Time: 14:50, Close: 52.5.
2021-05-30 21:35:55 97      ADM: Pulling stop loss to current price. Price: 52.44. MaxPrice: 52.56. Candle: ID:449, Time: 14:55, Close: 52.58.
